did,all_exp
ID12575,RNAi-II5J10 ;feeding ;3mM_24h
ID12577,RNAi-II5J10 ;feeding ;3mM_24h
ID12580,RNAi-II5J10 ;feeding ;3mM_24h
ID2417,RNAi-III1A24 ;feeding-drop ;36h
ID2418,RNAi-III1A24 ;feeding-drop ;36h
ID2420,RNAi-III1A24 ;feeding-drop ;36h
ID2421,RNAi-III1A24 ;feeding-drop ;36h
ID2422,RNAi-III1A24 ;feeding-drop ;36h
ID2425,RNAi-III1A24 ;feeding-drop ;36h
ID2424,RNAi-III1A24 ;feeding-drop ;36h
ID2427,RNAi-III1A24 ;feeding-drop ;36h
ID2428,RNAi-III1A24 ;feeding-drop ;36h
ID2430,RNAi-III1A24 ;feeding-drop ;36h
ID2276,RNAi-III1A12 ;feeding-drop ;24h
ID2274,RNAi-III1A12 ;feeding-drop ;24h
ID2275,RNAi-III1A12 ;feeding-drop ;24h
ID2279,RNAi-III1A12 ;feeding-drop ;24h
ID2281,RNAi-III1A12 ;feeding-drop ;24h
ID2283,RNAi-III1A12 ;feeding-drop ;24h
ID2285,RNAi-III1A12 ;feeding-drop ;24h
ID2287,RNAi-III1A12 ;feeding-drop ;24h
ID2299,RNAi-III1A12 ;feeding-drop ;24h
ID2300,RNAi-III1A12 ;feeding-drop ;24h
ID2301,RNAi-III1A12 ;feeding-drop ;24h
ID2302,RNAi-III1A12 ;feeding-drop ;24h
ID2288,RNAi-III1A24 ;feeding-drop ;24h
ID2289,RNAi-III1A24 ;feeding-drop ;24h
ID2290,RNAi-III1A24 ;feeding-drop ;24h
ID2291,RNAi-III1A24 ;feeding-drop ;24h
ID2292,RNAi-III1A24 ;feeding-drop ;24h
ID2295,RNAi-III1A24 ;feeding-drop ;24h
ID2296,RNAi-III1A24 ;feeding-drop ;24h
ID2294,RNAi-III1A24 ;feeding-drop ;24h
ID2297,RNAi-III1A24 ;feeding-drop ;24h
ID2284,RNAi-III1A24 ;feeding-drop ;24h
ID2282,RNAi-III1A24 ;feeding-drop ;24h
ID2286,RNAi-III1A24 ;feeding-drop ;24h
ID2298,RNAi-III1A24 ;feeding-drop ;24h
ID7672,RNAi-II5G20 ;feeding-drop ;24h
ID7673,RNAi-II5G20 ;feeding-drop ;24h
ID7674,RNAi-II5G20 ;feeding-drop ;24h
ID7675,RNAi-II5G20 ;feeding-drop ;24h
ID7676,RNAi-II5G20 ;feeding-drop ;24h
ID7677,RNAi-II5G20 ;feeding-drop ;24h
ID7679,RNAi-II5G20 ;feeding-drop ;24h
ID1152,RNAi-III1C04 ;feeding-drop ;24h
ID1147,RNAi-III1C04 ;feeding-drop ;24h
ID1148,RNAi-III1C04 ;feeding-drop ;24h
ID1149,RNAi-III1C04 ;feeding-drop ;24h
ID1150,RNAi-III1C04 ;feeding-drop ;24h
ID1151,RNAi-III1C04 ;feeding-drop ;24h
ID6524,RNAi-vec37 ;feeding-drop ;24h
ID6525,RNAi-vec37 ;feeding-drop ;24h
ID6526,RNAi-vec37 ;feeding-drop ;24h
ID6528,RNAi-vec37 ;feeding-drop ;24h
ID6527,RNAi-vec37 ;feeding-drop ;24h
ID6529,RNAi-vec37 ;feeding-drop ;24h
ID6530,RNAi-vec37 ;feeding-drop ;24h
ID6532,RNAi-vec37 ;feeding-drop ;24h
ID9193,RNAi-letF ;feeding-3mM ;24h
ID9194,RNAi-letF ;feeding-3mM ;24h
ID9196,RNAi-letF ;feeding-3mM ;24h
ID9197,RNAi-letF ;feeding-3mM ;24h
ID9199,RNAi-letF ;feeding-3mM ;24h
ID9399,RNAi-letF ;feeding-3mM ;24h
ID9400,RNAi-letF ;feeding-3mM ;24h
ID9401,RNAi-letF ;feeding-3mM ;24h
ID2608,none
ID2607,none
ID2606,none
ID8234,RNAi-V8O05 ;feeding-drop ;24h
ID8235,RNAi-V8O05 ;feeding-drop ;24h
ID8236,RNAi-V8O05 ;feeding-drop ;24h
ID2101,RNAi-V8O01 ;feeding-drop ;24h
ID2102,RNAi-V8O01 ;feeding-drop ;24h
ID1974,RNAi-IV7A05 ;feeding-drop ;24h
ID1975,RNAi-IV7A05 ;feeding-drop ;24h
ID1976,RNAi-IV7A05 ;feeding-drop ;24h
ID1978,RNAi-IV7A05 ;feeding-drop ;24h
ID1979,RNAi-IV7A05 ;feeding-drop ;24h
ID2077,RNAi-IV7A05 ;feeding-drop ;12h
ID2084,RNAi-IV7A05 ;feeding-drop ;12h
