did,tempe
ID5482,18C
ID5483,18C
ID5484,18C
ID5485,18C
ID5486,18C
ID5488,18C
ID5489,18C
ID5490,18C
ID7959,15C
ID7960,15C
ID7961,15C
ID7962,15C
ID7963,15C
ID7964,15C
ID7965,15C
ID7966,15C
ID7967,15C
ID2311,18C
ID2312,18C
ID2314,18C
ID2315,18C
ID2316,18C
ID2317,18C
ID2319,18C
ID1268,18C
ID1264,18C
ID1265,18C
ID1266,18C
ID1267,18C
ID1260,18C
ID1261,18C
ID1263,18C
ID4351,18C
ID4352,18C
ID4353,18C
ID4354,18C
ID4355,18C
ID4356,18C
ID4358,18C
ID2515,18C
ID2517,18C
ID2518,18C
ID2519,18C
ID2520,18C
ID2523,18C
ID2521,18C
ID2522,18C
ID2524,18C
ID2525,18C
ID2526,18C
ID2527,18C
ID2528,18C
ID6714,18C
ID6715,18C
ID6716,18C
ID6717,18C
ID6718,18C
ID6719,18C
ID6720,18C
ID6721,18C
ID8393,18C
ID8394,18C
ID8395,18C
ID8396,18C
ID8397,18C
ID8398,18C
ID8400,18C
ID8401,18C
ID8402,18C
ID8403,18C
ID7565,18C
ID7566,18C
ID7567,18C
ID7568,18C
ID7569,18C
ID7571,18C
ID7572,18C
ID7573,18C
ID5258,18C
ID5259,18C
ID5260,18C
ID5261,18C
ID5262,18C
ID5263,18C
ID5264,18C
ID7028,18C
ID7029,18C
ID7030,18C
ID7031,18C
ID7032,18C
ID7033,18C
ID7034,18C
ID7035,18C
ID7036,18C
ID7037,18C
ID7038,18C
ID1163,18C
ID1164,18C
ID1165,18C
ID1166,18C
ID1167,18C
ID1168,18C
ID5973,18C
ID5974,18C
ID5975,18C
ID5976,18C
ID5977,18C
ID5979,18C
ID5827,23C
ID5828,23C
ID5829,23C
ID5830,23C
ID5831,23C
ID5832,23C
ID5833,23C
ID5834,23C
ID5812,20C
ID5813,20C
ID5814,20C
ID6939,18C
ID6937,18C
ID6938,18C
ID6940,18C
ID6941,18C
ID6942,18C
ID6943,18C
ID6059,23C
ID6060,23C
ID6061,23C
ID6063,23C
ID6064,23C
ID6084,23C
ID6092,23C
ID6086,23C
ID6087,23C
ID6088,23C
ID6089,23C
ID6090,23C
ID6093,23C
ID6111,23C
ID6113,23C
ID6115,23C
ID6117,23C
ID6163,23C
ID6164,23C
ID6165,23C
ID6166,23C
ID6167,23C
ID6168,23C
ID6097,23C
ID6098,23C
ID6170,23C
ID6171,23C
ID6172,23C
ID10694,23C
ID10695,23C
ID10696,23C
ID10697,23C
ID10698,23C
ID10699,23C
ID10700,23C
ID10701,23C
ID10769,18C
ID10770,18C
ID10772,18C
ID10773,18C
ID10774,18C
ID10775,18C
ID10776,18C
ID10777,18C
ID10778,18C
ID10779,18C
ID9699,18C
ID9700,18C
ID9760,18C
ID9761,18C
ID9762,18C
ID9763,18C
ID9832,18C
ID9833,18C
ID9834,18C
ID9764,18C
ID9703,18C
ID9704,18C
ID9705,18C
ID9706,18C
ID9707,18C
ID9708,18C
ID9709,18C
ID11330,23C
ID11334,23C
ID11336,23C
ID11353,23C
ID11354,23C
ID11355,23C
ID11356,23C
ID11357,23C
ID11358,23C
ID11492,23C
ID11493,23C
ID11494,23C
ID11495,23C
ID11497,23C
ID11498,23C
ID11499,23C
ID11500,23C
ID11501,23C
ID11502,18C
ID11503,18C
ID11504,18C
ID11505,18C
ID11506,18C
ID11507,18C
ID11508,18C
ID11509,18C
ID11510,18C
ID9956,18C
ID9957,18C
ID9959,18C
ID9590,18C
ID9591,18C
ID9592,18C
ID9593,18C
ID9594,18C
ID12169,23C
ID12172,23C
ID12173,23C
ID12174,23C
ID12235,23C
ID12236,23C
ID12237,23C
ID12166,23C
ID12167,23C
ID12168,23C
ID12229,23C
ID12230,23C
ID12231,23C
ID12232,23C
ID12233,23C
ID12234,23C
ID12451,23C
ID12452,23C
ID12453,23C
ID12455,23C
ID12243,23C
ID12282,23C
ID12285,23C
ID12286,23C
ID12546,23C
ID12547,23C
ID12548,23C
ID12551,23C
ID12552,23C
ID12626,23C
ID12628,23C
ID12630,23C
ID12633,23C
ID12634,23C
ID12637,23C
ID12063,23C
ID12074,23C
ID12075,23C
ID12076,23C
ID12077,23C
ID12103,23C
ID12104,23C
ID12105,23C
ID12106,23C
ID12107,23C
ID4649,18C
ID4650,18C
ID4651,18C
ID4653,18C
ID4654,18C
ID4655,18C
ID4656,18C
ID6923,18C
ID6924,18C
ID6926,18C
ID6928,18C
ID6930,18C
ID6931,18C
ID6932,18C
ID6933,18C
ID6935,18C
ID6922,18C
ID7009,18C
ID7010,18C
ID7011,18C
ID7012,18C
ID7013,18C
ID7014,18C
ID7015,18C
ID7016,18C
ID7017,18C
ID7018,18C
ID7019,18C
ID5816,20C
ID5817,20C
ID5815,20C
ID5818,20C
ID5819,20C
ID7225,18C
ID7226,18C
ID7227,18C
ID7228,18C
ID7229,18C
ID7230,18C
ID7231,18C
ID7232,18C
ID7233,18C
ID7234,18C
ID7251,18C
ID7252,18C
ID3972,18C
ID3973,18C
ID3974,18C
ID3975,18C
ID3976,18C
ID3977,18C
ID3978,18C
ID2468,18C
ID2469,18C
ID2470,18C
ID2461,18C
ID2462,18C
ID2463,18C
ID2465,18C
ID2466,18C
ID4531,18C
ID4532,18C
ID4530,18C
ID11455,23C
ID11456,23C
ID11457,23C
ID11458,23C
ID11459,23C
ID11462,23C
ID11463,23C
ID11485,23C
ID11488,23C
ID11490,23C
ID12301,23C
ID12302,23C
ID12303,23C
ID12304,23C
ID12305,23C
ID12308,23C
ID4006,18C
ID4007,18C
ID4008,18C
ID4009,18C
ID4010,18C
ID4012,18C
ID5366,23C
ID5367,23C
ID5368,23C
ID5370,23C
ID5371,23C
ID5372,23C
ID3355,18C
ID3356,18C
ID3357,18C
ID3358,18C
ID3359,18C
ID3360,18C
ID3361,18C
ID3362,18C
ID3363,18C
ID12347,23C
ID12349,23C
ID12363,23C
ID12350,23C
ID12351,23C
ID12352,23C
ID6414,18C
ID6416,18C
ID6417,18C
ID6418,18C
ID8416,18C
ID8417,18C
ID8418,18C
ID8419,18C
ID8420,18C
ID8421,18C
ID8422,18C
ID8423,18C
ID8424,18C
ID8619,18C
ID8620,18C
ID8621,18C
ID8623,18C
ID8625,18C
ID8626,18C
ID8627,18C
ID8628,18C
ID8630,18C
ID8485,18C
ID8486,18C
ID8487,18C
ID8488,18C
ID8489,18C
ID8490,18C
ID8491,18C
ID8492,18C
ID8493,18C
ID8494,18C
ID8495,18C
ID8496,18C
ID6722,18C
ID6723,18C
ID6724,18C
ID6725,18C
ID6726,18C
ID6727,18C
ID6729,18C
ID6730,18C
ID6731,18C
ID6302,18C
ID6303,18C
ID6304,18C
ID6305,18C
ID6307,18C
ID6308,18C
ID6309,18C
ID6310,18C
ID6306,18C
ID6197,18C
ID6198,18C
ID6199,18C
ID6200,18C
ID6201,18C
ID6202,18C
ID6203,18C
ID8469,18C
ID8470,18C
ID8471,18C
ID8472,18C
ID8473,18C
ID8474,18C
ID8476,18C
ID8477,18C
ID8478,18C
ID8479,18C
ID8480,18C
ID8405,18C
ID8406,18C
ID8408,18C
ID8409,18C
ID8411,18C
ID8410,18C
ID8412,18C
ID8414,18C
ID8413,18C
ID8601,18C
ID8602,18C
ID8604,18C
ID8605,18C
ID8606,18C
